City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mejit,10.2753,170.8646,301.14,80,100,6.17,MH,1693109312
84,khamharia,20.9833,82.2667,301.96,68,46,4.7,IN,1693109164
85,cocorna,6.0573,-75.1852,294.46,83,8,1.64,CO,1693109313
86,wailua homesteads,22.0669,-159.378,301.39,75,0,6.69,US,1693109313
87,sona,45.4388,10.8255,296.9,84,20,0.51,IT,1693109313
88,avarua,-21.2078,-159.775,296.18,83,20,3.09,CK,1693109314
89,ancud,-41.8697,-73.8203,279.42,85,81,3.86,CL,1693109314
90,petropavlovsk-kamchatsky,53.0452,158.6483,294.48,40,20,5.0,RU,1693109314
91,bani walid,31.7566,13.9942,298.92,58,0,1.87,LY,1693109314
92,huarmey,-10.0681,-78.1522,292.52,85,5,4.07,PE,1693109315
93,khromtau,50.2503,58.4347,285.49,50,98,5.56,KZ,1693109315
94,ngara,-2.5122,30.6558,290.23,62,69,0.56,TZ,1693109315
95,severo-yeniseyskiy,60.3725,93.0408,288.39,55,59,1.69,RU,1693109316
96,college,64.8569,-147.8028,294.33,64,75,4.12,US,1693109316
97,minas de marcona,-15.2119,-75.1103,285.68,87,34,4.6,PE,1693109317
98,vic-en-bigorre,43.3833,0.05,288.13,94,99,2.85,FR,1693109300
99,idri,27.5,13.2667,300.77,27,51,3.75,LY,1693109317
100,port mathurin,-19.6833,63.4167,296.09,71,55,10.96,MU,1693109318
101,hamilton,39.1834,-84.5333,297.04,83,0,1.79,US,1693109318
102,quarai,-30.3875,-56.4514,279.01,69,74,3.08,BR,1693109318
103,port lincoln,-34.7333,135.8667,287.27,60,7,2.53,AU,1693109168
104,ierapetra,35.01,25.7353,298.23,69,0,1.79,GR,1693109319
105,flying fish cove,-10.4217,105.6791,298.97,73,40,6.17,CX,1693109319
106,amanganj,24.4333,80.0333,300.84,65,96,5.61,IN,1693109230
107,constantia,44.1833,28.65,293.54,68,0,1.56,RO,1693109320
108,mezhdurechensk,53.6942,88.0603,294.87,72,70,1.24,RU,1693109320
109,tual,-5.6667,132.75,298.18,87,92,10.53,ID,1693109320
110,jumla,29.2747,82.1838,293.11,68,86,2.24,NP,1693109321
111,mount gambier,-37.8333,140.7667,288.32,60,92,3.11,AU,1693109321
112,geraldton,-28.7667,114.6,296.38,60,0,7.2,AU,1693109321
113,kununurra,-15.7667,128.7333,305.14,20,0,6.69,AU,1693109322
114,mount pearl,47.5166,-52.7813,285.35,92,74,2.62,CA,1693109322
115,puerto ayora,-0.7393,-90.3518,297.34,93,34,1.79,EC,1693109322
116,zalau,47.2,23.05,293.75,60,0,2.25,RO,1693109324
117,plettenberg bay,-34.0527,23.3716,282.94,66,7,2.88,ZA,1693109324
118,afaahiti,-17.75,-149.2833,298.08,74,14,9.33,PF,1693109324
119,mabaruma,8.2,-59.7833,298.13,92,54,1.31,GY,1693109326
120,lihue,21.9789,-159.3672,301.73,68,0,6.69,US,1693109326
121,san isidro de curuguaty,-24.5167,-55.7,286.07,51,10,3.16,PY,1693109326
122,jamestown,42.097,-79.2353,292.92,100,40,3.09,US,1693109327
123,chernyshevskiy,63.0128,112.4714,294.93,33,33,3.66,RU,1693109328
124,kupang,-10.1667,123.5833,303.17,43,8,5.85,ID,1693109328
125,badger,64.8,-147.5333,294.29,71,40,4.12,US,1693109283
126,hluti,-27.2167,31.6167,283.03,74,14,0.96,SZ,1693109328
127,le port,-20.9373,55.2919,297.53,80,10,2.99,RE,1693109329
128,fortuna foothills,32.6578,-114.4119,313.2,21,0,3.09,US,1693109329
129,hacienda huancane,-15.8222,-70.8856,274.97,33,2,1.9,PE,1693109329
130,mount isa,-20.7333,139.5,302.02,23,0,6.69,AU,1693109330
131,yuzhno-kurilsk,44.0306,145.8556,295.12,88,100,5.36,RU,1693109330
132,eydhafushi,5.1033,73.0708,301.39,74,40,2.76,MV,1693109330
133,vernon,50.2581,-119.2691,297.38,48,6,0.66,CA,1693109330
134,longyearbyen,78.2186,15.6401,280.06,100,75,4.12,SJ,1693109227
135,gornozavodsk,58.3758,58.3211,280.65,96,100,1.25,RU,1693109331
136,carnarvon,-24.8667,113.6333,297.45,48,0,3.66,AU,1693109332
137,tocache,-8.1842,-76.5125,296.27,79,47,0.2,PE,1693109332
138,revda,56.801,59.9303,281.77,85,100,3.21,RU,1693109332
139,ghat,24.9647,10.1728,303.7,22,70,1.37,LY,1693109333
140,cukai,4.25,103.4167,303.56,63,90,2.04,MY,1693109267
141,ilulissat,69.2167,-51.1,279.16,93,100,3.6,GL,1693109333
142,punta arenas,-53.15,-70.9167,276.31,89,100,4.38,CL,1693109334
143,lauro de freitas,-12.8944,-38.3272,297.16,94,0,2.06,BR,1693109334
144,cox's bazar,21.4532,91.9798,299.76,90,100,1.56,BD,1693109258
145,fernie,49.5,-115.0687,289.86,46,0,1.57,CA,1693109334
146,aldinga beach,-35.2793,138.4604,292.18,65,89,2.42,AU,1693109055
147,haiku-pauwela,20.9219,-156.3051,298.85,69,20,4.47,US,1693109335
148,san pedro pochutla,15.7333,-96.4667,297.43,91,24,1.9,MX,1693109335
149,qaqortoq,60.7167,-46.0333,278.57,90,100,0.45,GL,1693109336
150,papatowai,-46.5619,169.4708,278.72,82,95,5.74,NZ,1693109336
151,cidreira,-30.1811,-50.2056,281.91,70,27,3.26,BR,1693109337
152,bikenibeu village,1.3673,173.1241,304.13,70,75,3.09,KI,1693109338
153,alajarvi,63.0,23.8167,282.03,78,0,2.97,FI,1693109339
154,bakanas,44.8081,76.2772,301.6,27,17,2.86,KZ,1693109339
155,magadan,59.5667,150.8,292.89,74,56,3.52,RU,1693109340
156,ndende,-2.4008,11.3581,296.6,84,93,0.67,GA,1693109341
157,east london,-33.0153,27.9116,286.99,56,65,7.45,ZA,1693109342
158,fort bragg,35.139,-79.006,299.51,81,0,2.06,US,1693109342
159,whangarei,-35.7317,174.3239,288.29,66,36,3.4,NZ,1693109144
160,lorengau,-2.0226,147.2712,301.23,83,58,6.36,PG,1693109343
