City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luderitz,-26.6481,15.1594,299.31,20,0,5.85,NA,1693134608
84,colonia,50.9333,6.95,295.14,65,20,3.6,DE,1693134646
85,pisco,-13.7,-76.2167,292.18,77,100,0.0,PE,1693134750
86,shizuishan,39.2333,106.7694,299.36,23,4,5.61,CN,1693134593
87,tabou,4.423,-7.3528,299.01,84,100,4.7,CI,1693134751
88,kodiak,57.79,-152.4072,286.88,88,0,4.63,US,1693134752
89,carbonear,47.7332,-53.2148,290.06,92,76,4.11,CA,1693134752
90,northam,51.0333,-4.2167,289.48,80,100,7.35,GB,1693134753
91,igarka,67.4667,86.5833,288.42,58,69,3.39,RU,1693134753
92,nantucket,41.2835,-70.0995,292.6,99,0,3.09,US,1693134753
93,colesberg,-30.72,25.0972,288.58,17,0,3.75,ZA,1693134754
94,bam,29.106,58.357,311.84,11,1,6.25,IR,1693134754
95,port lincoln,-34.7333,135.8667,284.95,68,20,2.7,AU,1693134754
96,zouerate,22.7187,-12.4521,311.37,18,5,9.01,MR,1693134755
97,peterhead,57.5058,-1.7981,288.4,84,60,7.66,GB,1693134755
98,bavly,54.393,53.2602,290.17,45,80,5.32,RU,1693134755
99,ulladulla,-35.35,150.4667,286.89,85,98,1.14,AU,1693134475
100,hamilton,39.1834,-84.5333,293.39,88,100,6.17,US,1693134757
101,kununurra,-15.7667,128.7333,299.14,34,3,3.09,AU,1693134757
102,bamboo flat,11.7,92.7167,302.2,79,75,3.6,IN,1693134757
103,atafu village,-8.5421,-172.5159,301.35,72,82,5.77,TK,1693134757
104,hasaki,35.7333,140.8333,300.54,81,100,2.27,JP,1693134758
105,takelsa,36.7833,10.6333,314.38,25,5,0.97,TN,1693134758
106,nemuro,43.3236,145.575,292.98,99,100,5.62,JP,1693134758
107,makarska,43.2969,17.0178,307.26,63,0,2.02,HR,1693134759
108,hermanus,-34.4187,19.2345,291.37,59,43,4.2,ZA,1693134759
109,harstad,68.799,16.5293,292.17,64,3,2.24,NO,1693134484
110,west island,-12.1568,96.8225,298.14,83,75,6.69,CC,1693134760
111,villamontes,-21.25,-63.5,285.36,48,1,1.21,BO,1693134760
112,al jawf,29.5,38.75,310.36,13,0,3.55,SA,1693134760
113,nguigmi,14.2495,13.1092,309.36,34,98,4.96,NE,1693134761
114,sanming,26.2486,117.6186,300.02,91,97,0.98,CN,1693134761
115,college,64.8569,-147.8028,290.12,76,100,2.57,US,1693134762
116,pama,11.2497,0.7075,302.51,67,100,3.43,BF,1693134763
117,machico,32.7,-16.7667,299.66,73,40,8.23,PT,1693134763
118,alice springs,-23.7,133.8833,288.9,21,14,3.6,AU,1693134636
119,lianhe,47.1333,129.2667,288.47,96,46,0.69,CN,1693134764
120,sabha,27.0377,14.4283,312.78,17,71,3.49,LY,1693134764
121,ust-nera,64.5667,143.2,283.73,77,98,2.5,RU,1693134765
122,blackmans bay,-43.0167,147.3167,279.0,89,0,0.81,AU,1693134765
123,gadzhiyevo,69.2551,33.3362,283.62,79,100,4.86,RU,1693134765
124,walvis bay,-22.9575,14.5053,287.09,54,0,4.95,NA,1693134765
125,mili,6.0815,171.735,301.39,78,86,4.44,MH,1693134766
126,belabo,4.9333,13.3,301.77,58,100,1.43,CM,1693134766
127,sena madureira,-9.0656,-68.6569,296.09,73,1,0.46,BR,1693134766
128,taulaga,-11.0553,-171.0883,300.63,80,30,5.79,AS,1693134767
129,nova vicosa,-17.8919,-39.3719,296.42,87,100,5.24,BR,1693134767
130,tazovsky,67.4667,78.7,287.76,58,75,4.8,RU,1693134767
131,uige,-7.6087,15.0613,307.37,28,5,2.29,AO,1693134768
132,eastham,41.8301,-69.9739,293.16,87,100,2.57,US,1693134768
133,east london,-33.0153,27.9116,292.67,45,0,5.66,ZA,1693134768
134,inhambane,-23.865,35.3833,297.14,50,75,12.86,MZ,1693134769
135,donggang,28.9365,114.2259,297.85,97,100,1.79,CN,1693134769
136,whitehorse,60.7161,-135.0538,288.04,61,9,1.79,CA,1693134681
137,ancud,-41.8697,-73.8203,277.93,86,85,4.93,CL,1693134770
138,arraial do cabo,-22.9661,-42.0278,290.07,94,75,1.54,BR,1693134770
